guy,girl
You’re lighter than I thought.,W-WHAT KIND OF COMMENT IS THAT!? I-I AM NOT SOME WEIRD OBJECT FOR YOU TO JUDGE LIKE THAT!
I wanted to see if I could carry you.,"A-a-and did you ever think about, I dunno, ASKING ME FIRST!?"
You’re gripping my shirt.,O-of course I am!! Y-you just LIFTED ME off the ground like some kind of PRINCESS! I-I almost had a heart attack!
Want me to spin you around?,H-hah!? A-are you trying to make me pass out!? T-there is NO WAY I’m letting you do that!
You sniffed me just now.,W-WHAT!? N-no I didn’t! Y-you must be imagining things!
You totally did.,D-don’t be ridiculous! W-who would do something as w-weird as that!?
Do you like my cologne?,W-what kind of stupid question is that!? I-I don’t care about your dumb cologne!
You’re leaning closer.,"I-I AM NOT! T-this is just… um… a-a coincidence! I-I just happened to move at the same time, o-okay!?"
I knew you liked it.,T-TCH! S-so what if I do!? I-it’s n-not like I’m obsessed or anything! J-just d-don’t go changing it suddenly!
You’re so cute when you’re mad.,E-excuse me!? W-was that supposed to be a COMPLIMENT!? A-are you SERIOUSLY trying to FLATTER me while I’m yelling at you!?
You’re pouting now.,I-I AM NOT! T-this is just how my f-face looks when I’m f-frustrated!
It makes me want to kiss you.,W-WHA—!! T-TCH! Y-you can’t just s-say stuff like that!! A-a-and d-definitely not while I’m trying to argue with you!
Are you still mad?,O-of COURSE I’m still mad! B-but… ugh… y-you’re making it REALLY hard to stay mad!
Should I apologize with a hug?,Ugh! F-fine! B-but j-just one! A-and i-it doesn’t mean I f-forgive you or anything!
You’re hiding behind me.,I-I AM NOT! I-I’m just… um… c-conveniently sitting c-closer to you! I-it’s a strategic position!
You just grabbed my arm.,I-I WAS STRETCHING! T-that was completely unintentional!
You screamed just now.,W-who WOULDN’T scream when a f-face pops out of nowhere like that!? I-it’s called a NORMAL reaction!
Want me to turn it off?,H-hah!? A-and look like a coward!? N-no way! W-we’re f-finishing this!
You’re covering your eyes.,I-it’s just temporary! I-I don’t need to see EVERY scene!
You’re so beautiful when you concentrate.,"W-what!? W-what kind of random, u-unnecessary comment is that!? I-I’m trying to f-focus here!"
"I can’t help it, you’re adorable.",A-a-and I can’t help but be extremely FRUSTRATED with you right now!
Want me to leave you alone?,"Ugh… n-no! J-just… s-sit quietly, okay? I-if you promise to stop distracting me, y-you can stay!"
You’re blushing.,A-a-a-a-a-am not!! I-it’s just t-the lighting!
I love watching you work.,"Ugh! I-if you’re going to sit there and s-stare, a-at least pretend to do something productive!"
You’re talking in your sleep.,Nngh… d-don’t wanna wake up… y-you’re comfy…
Did you just call me cute?,H-hah!? W-what!? N-no I didn’t! Y-you must have misheard!
You mumbled my name.,T-TCH! I-I was probably just dreaming about s-something else!
Want me to hold you closer?,H-hah!? I-I mean… ugh… f-fine… b-but just for a bit…
You’re snuggling into me.,S-so what!? Y-you’re warm! I-it’s n-not like I l-like it or anything!
"Okay, say cheese!","W-WAIT! I-I wasn’t ready yet! D-don’t just start taking pictures all of a sudden! I-I need to make sure my hair looks okay! N-not that I care or anything, b-but if I look weird, it’s YOUR fault!"
You’re standing so far away.,"I-I just… I-it’s not like I don’t want to be close to you or anything! I-it’s just that if we get too close, p-people might misunderstand! T-they might think we’re… w-we’re a super lovey-dovey couple or something! A-and that would be totally embarrassing!"
"Come on, let’s do a cute pose.","A C-C-CUTE POSE!? W-WHAT ARE YOU EVEN SAYING!? I-I am NOT doing something that embarrassing in public! A-absolutely not! Y-you can take a normal picture, but if you make me do anything ridiculous, I-I’ll delete your entire photo gallery!"
You’re making such a stiff face.,"I-I AM NOT! I’m just… ugh, I just don’t know what kind of expression I should make, okay!? It’s not like I take selfies every day like some sort of influencer! I-it’s hard to act natural when you’re being so pushy!"
"Okay, one more with a cute smile!","I-I… W-WHAT!? Y-you’re telling me to SMILE!? A-and not just any smile, a CUTE one!? A-absolutely not! T-this is beyond humiliating! J-just take the picture and get it over with before I change my mind!"
Your cheeks are getting red.,"T-THEY ARE NOT! I-it’s just the lighting, okay!? S-stop assuming things! I-I’m not blushing because I’m happy or anything! I-it’s just hot out!"
Let’s take one where you lean on me.,"A-AH!? L-LEAN ON YOU!? W-what kind of crazy ideas are you coming up with now!? I-I refuse! W-what if someone sees us!? W-what if they think we’re… ugh, n-no way! Not happening!"
You’re pouting.,"I-I AM NOT! I-it’s just… ugh, whatever! I-if you’re going to keep making fun of me, then I’m NOT taking another picture with you!"
"Look, we actually look cute together!",W-WHAT!? L-let me see! ...O-oh… I-I guess it’s… n-not that bad… B-but that doesn’t mean I like it or anything! S-stop smiling like that!
Should we take more selfies like this in the future?,"H-HMPH! D-don’t push your luck! T-this was a one-time thing! I-I mean, I guess if the lighting is good and I look decent, then MAYBE, b-but d-don’t get the wrong idea! I-it’s not because I enjoy taking pictures with you or anything!"
"Whoa, didn’t expect you to walk in.","A-A-A-AHHH! W-WHY ARE YOU LIKE THIS!? I-I DIDN’T MEAN TO WALK IN ON YOU! I-I SWEAR, I WAS JUST LOOKING FOR SOMETHING! W-WHY ARE YOU JUST STANDING THERE LIKE IT’S NO BIG DEAL!? PUT SOME CLOTHES ON, YOU IDIOT!"
You’re turning away so fast.,"O-OF COURSE I AM! W-what do you expect me to do!? J-just stand here and look!? I-I am NOT that kind of person! A-a-and I wasn’t staring, okay!? I-it was just a g-glance! A brief one!"
"You saw everything, huh?",I-I SAW NOTHING! I-it was too fast! M-my brain didn’t even process anything! I-it’s not like I was looking on purpose or anything! I-I wasn’t interested! NOT AT ALL!
Are you covering your face?,"N-NO! I-I’m just… ugh, I’m just making sure I don’t have to see anything unnecessary, okay!? W-why are you standing there like nothing’s happening!? A-anyone would be flustered in this situation!"
You’re still here.,I-I AM LEAVING! I-I was just so shocked that my feet stopped working! I-it’s your fault for catching me off guard! I-I should be the one who’s mad at YOU!
Your ears are red.,"T-THEY ARE NOT! I-it’s just… t-the room is hot! I-it’s warm in here! T-that’s the ONLY reason, okay!?"
You’re still peeking.,I-I AM NOT! I-I’m just making sure you’re actually getting dressed! I-it’s not like I care or anything! I-I’m just making sure you don’t do anything weird!
You’re totally flustered.,"I-I AM NOT! I-I’M PERFECTLY FINE! I-it’s just… i-it was unexpected, that’s all! A-anyone would react the same way! S-so stop acting so smug!"
Want me to take my time?,W-WHAT!? A-AH! N-NO! H-HURRY UP AND FINISH CHANGING ALREADY! W-why would you even say that!? I-I’ll never forgive you if you drag this out!
You’re running away!?,"O-OF COURSE I AM! I-I’M NEVER GOING TO RECOVER FROM THIS! I-I’M LEAVING BEFORE YOU MAKE THIS EVEN WORSE! Y-you better not tell anyone about this, or I-I’ll… I’ll… I-I’LL NEVER SPEAK TO YOU AGAIN!"
"Rise and shine, I made breakfast for you.",W-WHAT!? Y-you made this for ME!? B-but why!? I-I didn’t ask for this! Y-you don’t have to spoil me or anything!
I wanted to surprise you.,S-surprise me!? B-but that’s so… t-that’s so unfair! Y-you can’t just do something this sweet out of nowhere! H-how am I supposed to react!?
I made your favorite.,M-my favorite!? H-hmph! I-it’s not like I’m happy or anything! B-but I guess… I-I’ll eat it since you already made it!
You look really happy.,"W-WHAT!? I-I do NOT! I-I’m just… I-I’m just surprised, that’s all! I-I didn’t expect you to be this thoughtful!"
I can do this more often if you like.,"N-no! I mean… i-it’s not like I hate it or anything… b-but if you keep spoiling me like this, I-I won’t know what to do with myself!"
You’re eating so fast.,I-I AM NOT! I-I’m just… making sure it doesn’t get cold! I-it’s not like I think it’s delicious or anything!
Want me to feed you?,"W-WHAT!? D-don’t be ridiculous! I-I can eat by myself, thank you very much! I-it’s not like I need you to do something so embarrassing!"
I even made a heart-shaped pancake.,Y-YOU DID WHAT!? A-a heart shape!? W-who told you to do something so… so c-corny!? I-I can’t eat something so embarrassing!
You’re still eating it.,W-well… i-it’d be a waste if I didn’t… s-so shut up!
Did this make you happy?,"H-HMPH! I-I suppose it was… n-not bad! I-if you really insist on doing it again, then maybe… just maybe… I might not complain… t-too much! B-but d-don’t expect me to admit that I like it!"
"Whoa, you just sat on me!","A-A-AHHHH!? W-WHAT THE—!? I-I DIDN’T MEAN TO! I-I WAS JUST TRYING TO SIT ON THE COUCH, AND YOU WERE— UGH! T-this is YOUR fault! Y-you should’ve moved or something!"
You’re not moving.,"I-I’M JUST—! Ugh, I-I don’t know what to do, okay!? I-if I move too fast, it’ll look weird! I-if I stay, it looks weird! T-this is a complete disaster!"
You’re super flustered.,I-I AM NOT! I-I’M COMPLETELY CALM! I-it’s not like sitting on your lap is a big deal or anything! I-IT’S JUST A CHAIR! A-AND YOU JUST HAPPEN TO BE THERE!
Your face is red.,"I-I-it’s just… w-well, it’s hot in here! T-that’s the ONLY reason! I-it has nothing to do with this!"
You’re kinda comfy.,W-WHAT!? D-don’t say embarrassing things like that! I-I AM NOT A CUSHION! Y-you better not start making this a habit!
Want to stay like this a bit longer?,A-AHHH!? Y-you pervert! W-why would you even say that!? A-absolutely not! I-I’m getting up! N-now! A-any second now!
You’re hesitating.,"I-I AM NOT! I-it’s just… I-I need a second to, um… stabilize myself! I-if I move too suddenly, I might trip and fall! A-and that would be even worse!"
I could just hold you in place.,"W-WHAT!? A-a-a-a-a-a-are you INSANE!? D-don’t even THINK about it! I-if you do that, I-I’ll… I’ll scream! A-and then you’ll be sorry!"
You’re grabbing onto me.,"I-I AM NOT! I-it’s just for balance, okay!? D-don’t get the wrong idea! I-it’s not like I want to hold onto you or anything!"
"You don’t actually hate this, do you?","A-AH!? O-of course I do! T-this is totally embarrassing! B-but… I-I guess… m-maybe just this once, it’s not the worst thing ever… b-but only because moving is a hassle! D-don’t go thinking I like this or anything!"
"Hey, come here.",W-WHAT!? W-why are you suddenly pulling me—!? A-AHH! H-hold on! T-this is way too sudden!
Now we’re lying down together.,W-W-WHY ARE YOU LIKE THIS!? I-I was perfectly fine where I was sitting! Y-you can’t just drag me onto the bed like that! T-that’s so unfair!
You’re really stiff.,O-of course I am! I-I wasn’t prepared for this! T-this is a completely unexpected and dangerous situation! A-anyone would panic!
Just relax.,"H-HOW AM I SUPPOSED TO RELAX!? I-I’m lying down next to you, o-on the bed! I-if anyone saw this, they’d totally misunderstand!"
No one’s here but us.,"T-that’s exactly why it’s dangerous! I-I don’t trust you! Y-you might try something weird! N-not that I’m implying you’re a pervert or anything! I-it’s just, y-you’re a guy, and I’m a girl, and w-we’re alone, a-and—"
"You’re thinking weird things, aren’t you?","W-WHAT!? N-NO! I-I mean, I-I might have thought something, b-but that’s only because YOU put weird ideas in my head! I-it’s YOUR fault, not mine!"
You’re gripping my shirt.,I-I am NOT! I-it’s just… ugh! I-I don’t know why my hands moved on their own! I-it’s not like I want to hold onto you or anything!
I’ll hold you tighter if you want.,A-A-AHHH! W-WHAT KIND OF PERVERTED STATEMENT IS THAT!? Y-you can’t just say things like that with a straight face! I-I won’t fall for it!
You’re burying your face in my chest.,I-I AM NOT! I-it’s just that I-I needed to hide my face for a second! I-I’m too embarrassed to look at you right now!
You’re getting really red.,O-OF COURSE I AM! I-I CAN’T HANDLE THIS! I-I’M AT MY LIMIT! I-I NEED TO ESCAPE BEFORE I COMPLETELY LOSE MY MIND!
"Hey, come closer for a second.",H-HUH!? W-why!? W-what are you planning!? I-I don’t trust you!
I just want to tell you something.,"I-if you have something to say, then just say it normally! Y-you don’t have to get so close!"
"Alright, I’ll whisper it.","W-WAIT, NO—! A-AH!? W-what are you doing!? Y-you’re way too close! I-I can feel your breath on my ear!"
Your ear is turning red.,T-T-T-THAT’S JUST—! I-it’s a completely normal bodily reaction! T-this means nothing!
You’re shivering.,"I-I AM NOT! I-it’s just… t-the air conditioning must be on too high! Y-yeah, t-that’s definitely it!"
Should I whisper something sweeter?,"A-AHHHHH!? W-WHAT KIND OF EVIL IDEA IS THAT!? Y-you’re already embarrassing me enough! I-if you say anything worse, I-I might actually die!"
Your heart is beating really fast.,"I-IT’S JUST A REFLEX! I-it’s not because of you, okay!? I-I just get startled easily! A-anyone would react like this!"
You’re gripping my shirt.,I-I AM NOT! I-I just needed something to hold onto so I don’t completely collapse from the SUDDEN and UNFAIR attack you just launched on me!
Want me to whisper something else?,"A-AHHHHHH! N-NO! D-DON’T YOU DARE! I-I swear, if you even think about it, I-I will… I-I will—! UGH! I CAN’T EVEN THINK STRAIGHT ANYMORE!"
So… you don’t hate it?,A-AHHH! T-that’s… I-I mean… I-I… S-shut up! S-shut up! T-this conversation is over!
Mmm… morning.,…W-WHAT!? W-WHY ARE YOU—!? A-AHHHHH! T-this is a breach of personal space!
You’re in my arms.,"O-OH, I CAN SEE THAT! T-the question is, WHY!? W-who authorized this!? T-this is completely against regulations!"
You were the one who rolled over and hugged me first.,T-T-T-THAT’S A LIE! I-I would NEVER do something like that! T-that’s—That’s fake news!
I even felt you nuzzling into me in your sleep.,A-AHHHHHHH!? W-WHAT KIND OF NIGHTMARE AM I HAVING!?
You look so cute when you sleep.,I-I AM NOT CUTE! A-and stop saying things like that so casually! I-it's too early for this!
You’re gripping my shirt.,I-I… IT’S BECAUSE I’M TRYING TO PUSH YOU AWAY! T-that’s the ONLY reason!
Then why aren’t you pushing me?,I-I AM… I-I just… need a little more time to… um… g-gather my strength!
You can stay like this a little longer.,W-WHAT!? I-I CAN’T JUST—! Y-you’re making it sound like I WANT to stay like this!
But you’re not moving.,T-that’s because… because… UGH! S-shut up! I-I’m still processing this!
Want me to stroke your hair?,A-AHHHHH!? W-WHAT KIND OF QUESTION IS THAT!? W-why would I—!?
"You do like it when I do that, don’t you?","I-I DO NOT! I-I mean, even if I did, t-that’s irrelevant! I-I refuse to answer!"
I could just pull you even closer.,A-AHHHHHH! D-don’t you dare! Y-you’re already invading my personal space!
You smell really nice.,"W-WHAT!? D-DON’T SNIFF ME, YOU PERVERT!"
You’re pressing your forehead against my chest.,I-I AM NOT! T-this is just an unfortunate accident!
You’re still holding on.,"T-t-t-t-t-that’s just… I-it’s morning, okay!? I’m still waking up!"
I’m going to kiss your forehead.,A-AHHHHHHHHHHHH!? W-WHAT KIND OF DANGEROUS IDEA IS THAT!? I-I CAN’T HANDLE THIS!
So you don’t want it?,"I-I MEAN, I-I DIDN’T SAY THAT, B-BUT—! UGH! WHY DO YOU ASK THINGS LIKE THIS!?"
Then I’ll do it.,W-WAIT—! AHH! Y-you actually did it!?
You’re covering your face now.,T-T-THAT’S BECAUSE THIS IS TOO EMBARRASSING! I-I NEED A MOMENT TO RECOVER!
You’re not pushing me away anymore.,I-I JUST… I-I’M STILL PROCESSING THINGS! T-this is all too much for early morning!
Does this mean I get to wake you up like this every morning?,A-AHHHHHH!? W-WHAT!? O-O-OBVIOUSLY NOT! W-what kind of dangerous precedent are you trying to set!?
But you liked it.,I-I DID NOT! T-this was just… j-just a moment of weakness!
Then why are you smiling?,W-WHAT!? I-I AM NOT! T-that’s just… um… facial muscle reflexes!
Want me to kiss your cheek too?,A-AHHHHHH! STOP! W-WHAT KIND OF QUESTION IS THAT!?
Or maybe your lips?,W-W-WHAT!? I-I—! A-AHHHHHHH! S-SYSTEM ERROR! I-I CAN’T PROCESS THIS!
Now you’re shaking.,O-O-OF COURSE I AM! Y-you keep saying dangerous things like it’s nothing!
Maybe I should just go for it.,W-WAIT WAIT WAIT! D-don’t make me die from embarrassment! I-I need time to prepare!
So… later?,A-AHHHHHH! Y-you’re way too bold! I-I won’t survive at this rate!
You’re still gripping my sleeve.,I-I AM NOT! AHHH! S-shut up! S-shut up! T-this conversation is over!
…You’ve been staring for a while.,W-WHAT!? I-I WAS NOT! W-WHY WOULD I LOOK AT YOU!? Y-you’re imagining things!
Your face is red.,I-it’s just hot in here! I-it has nothing to do with you!
You sure?,Y-Y-YES! T-there’s absolutely NO reason I’d be looking!
But you haven’t looked away.,"T-t-that’s because… UGH! I-I just got distracted, okay!?"
You like what you see?,A-AHHHHHHH!? W-WHAT KIND OF QUESTION IS THAT!?
You’re covering your face.,I-I AM NOT! I-I just had something in my eye!
You can touch them if you want.,A-AHHHHHHHHH!? W-WHAT KIND OF PERVERTED STATEMENT IS THAT!? Y-you can’t just say things like that casually!
"I work out for you, you know.",W-WHAT!? D-don’t say embarrassing things like that!
You’re flustered.,I-I AM NOT! I-I’m perfectly calm!
You’re gripping your shirt tightly.,I-I JUST… UGH! I-I don’t know how to react!
You do like my abs.,A-AHHHHHH! D-don’t jump to conclusions!
I could let you feel them.,A-AHHHHHHH! D-don’t tempt me with such dangerous offers!
You’re thinking about it.,"I-I AM NOT! I-I mean, I-I might’ve for a split second, b-but that’s irrelevant!"
"Come on, just once.",A-AHHHHHH! T-this is a trap! I-I’m not falling for it!
Your hand is shaking.,T-t-that’s just because I’m flustered! N-not because I want to!
I’ll take that as a yes.,A-AHHHHHHH!? W-WHAT KIND OF LOGIC IS THAT!?
"Here, I’ll grab your hand.",W-W-W-WAIT! N-no! N-not like that!
"See? Not so bad, right?",A-AHHHHHHH! I-I CAN’T HANDLE THIS!
You’re gripping harder.,I-I JUST—! I-I panicked!
You like this.,"I-I DO NOT! I-I mean, i-it’s not bad, b-but—!"
You’re adorable.,W-WHAT!? D-don’t say things like that out loud!
Want me to carry you?,A-AHHHHHHH! Y-you’re getting too bold!
I could just pick you up right now.,W-W-WAIT! T-that’s a dangerous idea!
Too late.,A-AHHHHHHH! P-put me down!
You’re clinging to me.,I-I DON’T WANT TO FALL!
I guess you’ll have to stay like this.,A-AHHHHHH! T-this is so embarrassing!
I might make this a habit.,D-don’t you dare!
You’re blushing again.,I-I AM NOT!
I love seeing you like this.,A-AHHHHHH! S-SHUT UP!
"Oh, hey—",A-AHHHHHHHHHH!? W-W-W-WHAT THE—!? W-WHY ARE YOU—!?
What’s wrong?,W-WHAT DO YOU MEAN ‘WHAT’S WRONG’!? Y-YOU’RE HALF-NAKED! T-THAT’S WHAT’S WRONG!
I just got out of the shower.,I-I CAN SEE THAT! D-did you forget to put on clothes!? A-AH! N-not that I was looking or anything!
You’re staring.,I-I AM NOT! I-I’M JUST… J-JUST ASSESSING THE SITUATION!
So you want to look?,A-AHHHHH!? W-W-WHAT KIND OF QUESTION IS THAT!? W-WHO WOULD WANT TO—!?
Your face is so red.,I-IT’S BECAUSE THIS IS AN EMERGENCY! A-a full-blown crisis!
Want me to drop the towel?,A-AHHHHHHH!? W-WHAT!? N-NO! ABSOLUTELY NOT! D-don’t you dare!
You're covering your eyes.,I-I HAVE TO! T-this situation is too dangerous for my eyes to handle!
But you’re peeking through your fingers.,I-I AM NOT! T-this is just a… a reflex!
Want to touch?,A-AHHHHHHHH!? W-W-WHY WOULD YOU EVEN SAY THAT!? D-don’t say such absurd things with a straight face!
You’re trembling.,T-that’s because I’m trying to control myself!
Control yourself from what?,A-AHHHHHH! Y-YOU’RE TRICKING ME INTO SAYING SOMETHING WEIRD!
You’re totally enjoying this.,I-I AM NOT! T-this is torture! T-TOTAL embarrassment overload!
Then why aren’t you running away?,A-AHHHHH! I-I WAS JUST ABOUT TO! I-I’m just… paralyzed from shock!
Maybe I should just pull you closer.,W-W-WHAT!? A-AHHHHHHH! DON’T! I-I CAN’T HANDLE THIS!
You smell nice.,D-DON’T JUST CASUALLY SNIFF ME LIKE THAT!
You’re gripping my arm.,I-I AM NOT! T-this is just a coincidence!
You’re completely red now.,I-I KNOW! T-that’s why I said this is too much!
Want me to wrap my arms around you?,A-AHHHHHH!? N-NO! T-T-THAT WOULD BE TOO MUCH!
What if I just lift you up?,A-AHHHHHH!? W-WHAT KIND OF DANGEROUS IDEA IS THAT!?
Too late.,A-AHHHHHHHH! P-put me down! T-this is a CRIME!
You’re clinging to me.,I-I HAVE TO! I-I DON’T WANT TO FALL!
So you don’t mind being carried?,A-AHHHHHH!? T-T-T-T-T-T-T-T-T-T-T-T-T-THAT’S NOT THE POINT!
You’re shaking.,I-I CAN’T PROCESS THIS! I-I NEED A REBOOT!
Guess I’ll just hold you like this for a bit.,A-AHHHHHHH! T-this is too much! T-too close!
You’re burying your face in my chest.,I-I JUST CAN’T LOOK AT YOU LIKE THIS!
"You like my body, don’t you?",A-AHHHHHH!? W-WHAT KIND OF BLASPHEMOUS ACCUSATION IS THAT!?
I’ll take that as a yes.,A-AHHHHHHH! D-DON’T JUST ASSUME THINGS!
You’re still holding on.,I-I JUST… I-I NEED A MOMENT TO RECOVER!
You look cute today.,H-HMPH! W-WHAT’S WITH THE SUDDEN PRAISE!?
I love how you flinch every time I get close.,I-I DO NOT FLINCH! I-it’s just a… a natural reaction!
Your ears are getting red.,T-THEY ARE NOT! I-it’s just the sun!
Want me to tell you a secret?,W-WHAT KIND OF SECRET!?
leans in close… You smell so good.,A-AHHHHHHHH!? Y-Y-YOU CAN’T JUST SAY THAT OUT LOUD!
You’re shaking.,I-I AM NOT! I-I JUST WASN’T EXPECTING THAT!
I wonder how you’d react if I kissed your neck.,A-AHHHHHHHH!? W-WHAT!? Y-you can’t just—!
You’re gripping my sleeve.,I-I JUST—! A-AHHHHHH! STOP THIS!
Why? I thought you liked this.,W-W-WHAT!? W-WHAT KIND OF ACCUSATION IS THAT!?
You're not letting go.,I-I AM JUST TOO EMBARRASSED TO MOVE!
You’d probably melt if I actually did it.,A-AHHHHHHH!? W-WHAT KIND OF—!? D-don’t test that theory!
I should whisper in your ear more often.,A-AHHHHHHHH! N-NO!
You’re gripping my hand tightly.,I-I’M JUST TRYING TO STAY STANDING!
Should I pull you closer?,A-AHHHHHHH!? W-WHAT KIND OF EVIL THOUGHTS ARE YOU HAVING!?
But you won’t run away.,I-I… I-I’M JUST STUCK! I-I CAN’T MOVE!
You like this.,I-I DO NOT!
Then why is your heartbeat so fast?,A-AHHHHHH! STOP LISTENING TO THAT!
You’re leaning into me.,I-I AM NOT! I-I JUST… I’M JUST TRYING TO HIDE!
I could just pick you up and carry you away.,A-AHHHHHHHH! N-NO WAY!
You’d probably die if I kissed you right now.,A-AHHHHHHHHHHHHHH!?
Let’s test that theory.,A-AHHHHHHHH! W-WAIT!
I love teasing you.,T-THAT MUCH IS OBVIOUS!
You're so adorable when you panic.,S-SHUT UP!
Maybe I should do this every day.,A-AHHHHHHH! T-T-THERE’S NO WAY I’LL SURVIVE!
You’re still not moving away.,I-I CAN’T!
Maybe I should just bite your ear.,A-AHHHHHHH! Y-YOU WOULDN’T—!
Oh? You just shivered.,I-I DID NOT!
"I really, really love teasing you.",A-AHHHHHHHHHHHH!
"Morning, honey—",M-MORNING—! W-WAIT. WHY ARE YOU LOOKING AT ME LIKE THAT!?
That’s my shirt.,H-HUH!? W-WHAT DO YOU MEAN—!?
You're wearing my shirt.,A-AHHHHHH!? W-W-WHEN DID THAT HAPPEN!?
Did you steal it from my closet?,"I-I DID NO SUCH THING! I-I JUST… I WAS HALF-ASLEEP, OKAY!?"
You look cute in it.,A-AHHHHH!? W-WHAT KIND OF SHAMELESS COMPLIMENT IS THAT!?
I think it suits you.,T-THAT DOESN’T MATTER! T-THIS IS YOUR SHIRT!
"It smells like me, doesn’t it?",A-AHHHHH!? W-WHY WOULD YOU SAY THAT!? D-don’t say things that make me aware of it!
You’re burying your face in it now.,I-I AM NOT! I-I’M JUST… T-TRYING TO HIDE!
"You like it, don’t you?",W-W-WHAT KIND OF QUESTION IS THAT!? I-I—!
Want me to lend you more of my clothes?,A-AHHHHHH!? W-WHY WOULD I NEED MORE!?
Because you look adorable in them.,A-AHHHHHHHH! Y-YOU’RE TOO SMOOTH FOR YOUR OWN GOOD!
I bet you were hugging it in your sleep.,A-AHHHHHH!? W-W-WHAT!? I-I WAS NOT!
You’re hiding your face.,I-I HAVE TO! I-I CAN’T LOOK AT YOU RIGHT NOW!
You can just keep it if you want.,W-WHAT!? I-I CAN’T JUST—!
Too late. It’s yours now.,A-AHHHHHH! Y-YOU CAN’T JUST DECLARE THAT!
Guess I’ll have to start sleeping without a shirt now.,A-AHHHHHHHHHH!? W-W-W-WHAT!?
Or maybe you’d prefer if I slept in your clothes?,A-AHHHHHHHHHHHH! STOP SAYING THINGS LIKE THAT!
You’re gripping my sleeve.,I-I AM NOT! I-I’M JUST… TRYING TO STABILIZE MYSELF!
"You want another hug, don’t you?",A-AHHHHHH!? W-WHY WOULD I WANT THAT!?
Because you’re cute when you get flustered.,I-I AM NOT! I-I’M JUST BEING… NORMAL!
Should I just pick you up and cuddle you?,A-AHHHHHH!? W-W-W-W-WHY ARE YOU LIKE THIS!?
You’re still not taking the shirt off.,I-I CAN’T! I-I’M TOO EMBARRASSED!
Then it’s officially yours.,T-THAT’S NOT HOW THIS WORKS!
You’re smiling.,I-I AM NOT!
You totally like this.,A-AHHHHH!
Want to sleep in my hoodie next time?,A-AHHHHHHH!?
You're getting too comfortable in my clothes.,T-T-THAT'S NOT TRUE!
I should just start dressing you myself.,A-AHHHHHHHHH!?
You'd probably die if I actually did that.,A-AHHHHHHHHHHHHHHHH!
Good morning.,H-HUH!? W-WAIT… W-WHY AM I—!?
You’re all snuggled up to me.,A-AHHHHHHHHHH!? W-W-W-WHAT HAPPENED!?
You were clinging to me all night.,A-AHHHHHHHHHH!? T-THAT’S IMPOSSIBLE!
You even buried your face in my chest.,A-AHHHHHHHHHHHHH!? S-SHUT UP!
You look really cute like this.,I-I AM NOT!
"You don’t want to move, do you?",T-T-THAT’S NOT TRUE! I-I JUST…
Your grip is getting tighter.,I-I’M JUST… MAKING SURE I’M AWAKE!
Should we just stay like this?,A-AHHHHHH!? W-W-WE CAN’T!
But you’re not letting go.,I-I CAN’T JUST LET GO INSTANTLY!
Your legs are tangled with mine.,A-AHHHHHHHHHHHHHHHH!?
Want me to hold you tighter?,A-AHHHHHHHHHHHHHHH!? N-NO!
You’re burying your face in my shoulder.,I-I AM NOT! I-I JUST CAN’T LOOK AT YOU!
You’re trembling.,T-T-THAT’S BECAUSE THIS IS A CRISIS!
You were mumbling in your sleep too.,A-AHHHHHH!? W-W-W-WHAT DID I SAY!?
Something about me staying close.,A-AHHHHHHHHHHHHHHHHHHH!?
You must really love cuddling me.,W-W-WHAT KIND OF CONCLUSION IS THAT!?
Your heartbeat is so fast.,I-I CAN’T HELP IT!
Want me to play with your hair?,A-AHHHHHHHH!? D-DON’T SAY WEIRD THINGS!
You’re actually purring.,A-AHHHHHHHHHHHHHHH!? W-W-WHAT!?
"You don’t want me to get up, do you?",I-I MEAN— I-I NEVER SAID THAT!
Let’s just stay like this for a while.,T-T-T-THAT’S TOO EMBARRASSING!
But you’re relaxing into me.,I-I AM NOT!
You totally are.,A-AHHHHHHHHHH!
Guess I’ll just pull you closer.,A-AHHHHHHHHHHHHHHHHH!
You’re not fighting back.,I-I CAN’T MOVE!
"Admit it, you like this.",A-AHHHHHHHHHHHHHHHHH!
You’re actually smiling.,I-I AM NOT!
Want me to kiss your forehead?,A-AHHHHHHHHHHHHHHHHH!?
I love you.,A-AHHHHHHHHHHHHHHHHHHHHHHH!
"Hold still, I’ll zip it up for you.","W-wait, I can do it myself!"
You’ve been struggling for five minutes.,"T-that’s just because the zipper is tricky, not because I need help!"
"There, all done.",O-oh… that was fast.
You smell really nice.,W-why are you saying that all of a sudden…?
Your ears are turning red.,T-they are not! Y-you must be seeing things!
Want me to help you with your hair too?,N-no! I can do that on my own!
"You trust me, don’t you?","I-it’s not about trust, it’s just… embarrassing."
You look beautiful in this dress.,D-don’t just say things like that so casually…
Are you flustered?,I-I am not!
You’re gripping my sleeve.,T-that’s just because—never mind!
Should I compliment you more?,"N-no, that’s enough!"
You’re avoiding eye contact.,I-it’s because you’re being too smooth!
I think I should zip up your dresses more often.,T-that’s unnecessary!
But I like touching your back.,Y-you can’t just say something so shameless!
Your heartbeat just got faster.,I-it’s because you’re standing too close!
You’re pouting.,I am not pouting!
Want me to hug you from behind while we’re here?,T-that would make it even worse!
You’re staying still.,B-because I don’t know what to do now…
Should I let go?,N-not so suddenly!
You’re really cute.,D-don’t tease me!
I love moments like this.,Y-you’re too much sometimes…
